account,amount,time,refund,prize,period
26541545,3,6/6/14 8:03,0,1,15
27852614,1,6/6/14 8:03,0,1,15
28518133,0.5,6/6/14 8:03,0,1,1
28575013,2.5,6/6/14 8:03,0,1,1
21668167,20,6/6/14 8:16,0,0,2
8323186,20,6/6/14 8:35,0,0,2
25576269,20,6/6/14 8:49,0,0,16
25420033,15,6/6/14 8:51,0,0,2
10489810,20,6/6/14 9:01,0,0,2
26541545,25,6/6/14 9:17,0,0,16
4101463,20,6/6/14 9:39,0,0,2
4101463,5,6/6/14 9:43,0,0,2
24186114,40,6/6/14 9:54,0,0,2
27252833,10,6/6/14 10:46,0,0,2
16280538,10,6/6/14 12:00,0,0,4
12232434,20,6/6/14 12:26,0,0,2
1002538,20,6/6/14 13:47,0,0,2
24846916,20,6/6/14 14:04,0,0,2
17703941,45,6/6/14 15:18,0,0,4
27876492,10,6/6/14 15:36,0,0,2
27747770,20,6/6/14 18:05,0,0,2
26575477,50,6/6/14 18:10,0,0,2
24433466,20,6/6/14 18:22,0,0,4
12385366,40,6/6/14 18:33,0,0,4
27852614,20,6/6/14 19:06,0,0,16
20586335,10,6/6/14 19:08,0,0,4
8323186,20,6/6/14 19:28,0,0,2
27252833,15,6/6/14 20:04,0,0,2
25177736,10,6/6/14 21:08,0,0,2
29395910,20,6/6/14 21:15,0,0,16
23122082,70,6/6/14 22:22,0,0,16
24433466,30,6/7/14 7:28,0,0,4
22789676,10,6/7/14 8:01,0,0,16
12232434,2,6/7/14 8:03,0,1,2
16280538,0.5,6/7/14 8:03,0,1,4
17703941,4.5,6/7/14 8:03,0,1,4
23122082,70,6/7/14 8:03,0,1,16
24186114,2,6/7/14 8:03,0,1,2
24433466,2.5,6/7/14 8:03,0,1,4
25177736,1,6/7/14 8:03,0,1,2
25420033,0.75,6/7/14 8:03,0,1,2
26541545,2.5,6/7/14 8:03,0,1,16
26575477,5,6/7/14 8:03,0,1,2
27747770,1,6/7/14 8:03,0,1,2
27852614,1,6/7/14 8:03,0,1,16
27876492,0.5,6/7/14 8:03,0,1,2
29395910,1,6/7/14 8:03,0,1,16
8323186,20,6/7/14 8:23,0,0,3
21609978,20,6/7/14 8:39,0,0,3
26575477,30,6/7/14 8:40,0,0,3
26541545,40,6/7/14 9:07,0,0,17
3314125,15,6/7/14 10:04,0,0,5
25420033,10,6/7/14 10:34,0,0,3
27252833,25,6/7/14 10:55,0,0,3
24186114,50,6/7/14 11:27,0,0,3
29395910,100,6/7/14 11:31,0,0,17
4101463,50,6/7/14 11:47,0,0,3
16758097,10,6/7/14 12:27,0,0,17
29395910,100,6/7/14 12:52,0,0,17
29395910,-100,6/7/14 12:52,1,0,17
3672396,20,6/7/14 14:10,0,0,5
7694258,10,6/7/14 15:40,0,0,3
7694258,10,6/7/14 15:42,0,0,3
12232434,50,6/7/14 15:44,0,0,3
27747770,20,6/7/14 17:14,0,0,3
571959,20,6/7/14 18:04,0,0,3
28518133,10,6/7/14 19:10,0,0,3
27852614,20,6/7/14 19:32,0,0,17
1002538,20,6/7/14 19:37,0,0,3
93675,70,6/7/14 19:47,0,0,17
25714905,20,6/7/14 19:56,0,0,3
25576269,23,6/7/14 20:45,0,0,17
8266688,50,6/7/14 21:52,0,0,5
23729090,20,6/7/14 21:58,0,0,3
25177736,20,6/7/14 22:27,0,0,3
25420033,10,6/8/14 6:59,0,0,3
3314125,10,6/8/14 7:03,0,0,5
22789676,10,6/8/14 8:00,0,0,17
93675,7,6/8/14 8:03,0,1,17
4101463,5,6/8/14 8:03,0,1,3
